UniProtKB-AC,UniProtKB-ID,GeneID,RefSeq,UniParc,EMBL-CDS,Ensembl,target,ncbi_code
U5QDK8,,,WP_023172072.1,,AGY57022.1,,WP_023172072.1,WP_023172072.1
B4WKP9,,,WP_006455717.1,,EDX85960.1,,WP_006455717.1,WP_006455717.1
K9R677,,,WP_015116529.1,,AFY52951.1,,WP_015116529.1,WP_015116529.1
A0A1Q4R8G2,,,WP_075889505.1,,OKH19367.1,,WP_075889505.1,WP_075889505.1
A0A1U7J857,,,WP_073607616.1,,OKH49509.1,,WP_073607616.1,WP_073607616.1
A0A1E5QID9,,,WP_069967886.1,,OEJ74388.1,,WP_069967886.1,WP_069967886.1
A0A1J0AGT3,,,WP_071455489.1,,APB35156.1,,WP_071455489.1,WP_071455489.1
A0A0F5YA55,,,WP_046281311.1,,KKD35517.1,,WP_046281311.1,WP_046281311.1
A0A1E5QV71,,,WP_069790862.1,,OEJ78569.1,,WP_069790862.1,WP_069790862.1
K9Z189,,,WP_015218062.1,,AFZ52330.1,,WP_015218062.1,WP_015218062.1
Q2JSF9,,,WP_011431089.1,,ABD00416.1,,WP_011431089.1,WP_011431089.1
A0A6P0KFW4,,,WP_071102121.1,,NEO35306.1,,WP_071102121.1,WP_071102121.1
,,,,,TKZ26913.1,,TKZ26913.1,TKZ26913.1
,,,,,GCE95998.1,,GCE95998.1,GCE95998.1
,,,,,PSP15035.1,,PSP15035.1,PSP15035.1
U7QMF3,,,,,ERT09159.1,,ERT09159.1,ERT09159.1
B0JI20,,,,,BAG05582.1,,BAG05582.1,BAG05582.1
D8G079,,,,,CBN56019.1,,CBN56019.1,CBN56019.1
K9TG33,,,WP_015147987.1,,AFY81343.1,,AFY81343.1,WP_015147987.1
K9SC83,,,WP_015173357.1,,AFY67793.1,,AFY67793.1,WP_015173357.1
B8HKC6,,,,,ACL45117.1,,ACL45117.1,ACL45117.1
B4VXP0,,,,,EDX73328.1,,EDX73328.1,EDX73328.1
A0A3M9Z677,,,,,RNJ67070.1,,RNJ67070.1,RNJ67070.1
A0A1Q8ZJV0,,,,,OLP20417.1,,OLP20417.1,OLP20417.1
A0A2T2RZT8,,,,,PSP17127.1,,PSP17127.1,PSP17127.1
A0A2N5JP96,,,,,PLS68317.1,,PLS68317.1,PLS68317.1
A0A2W4VGC6,,,,,PZO08615.1,,PZO08615.1,PZO08615.1
A0A9P1NXI3,,,,,CDM93748.1,,CDM93748.1,CDM93748.1
A0A6P2AAG1,,,,,TVQ43653.1,,TVQ43653.1,TVQ43653.1
A0A2W4WYD8,,,,,PZO49560.1,,PZO49560.1,PZO49560.1
A0A251WIF2,,,,,OUC15092.1,,OUC15092.1,OUC15092.1
A0A068N0B4,,,,,AIE75570.1,,AIE75570.1,AIE75570.1
A0AAE6P2N5,,,,,QFZ91840.1,,QFZ91840.1,QFZ91840.1
A0A651ENP9,,,,,TVQ19912.1,,TVQ19912.1,TVQ19912.1
A0A2W1JLS6,,,,,PZD71832.1,,PZD71832.1,PZD71832.1
A0A3B7MC77,,,,,AXY68227.1,,AXY68227.1,AXY68227.1
A0A0V7ZTB9,,,,,KST67722.1,,KST67722.1,KST67722.1
A0A3M1SUB1,,,,,RMG07956.1,,RMG07956.1,RMG07956.1
A0A1U7IGD6,,,WP_073595039.1,,OKH36044.1,,OKH36044.1,WP_073595039.1
A0A0M1JY78,,,,,KOR37720.1,,KOR37720.1,KOR37720.1
A0A2W7B6W2,,,,,PZV25621.1,,PZV25621.1,PZV25621.1
A0A3M1KTL4,,,,,RMF21621.1,,RMF21621.1,RMF21621.1
A0A2W7ALC7,,,,,PZV10928.1,,PZV10928.1,PZV10928.1
A0A1Z4RBF1,,,,,BAZ39800.1,,BAZ39800.1,BAZ39800.1
