UniProtKB-AC,UniProtKB-ID,GeneID,RefSeq,UniParc,EMBL-CDS,Ensembl,target,ncbi_code
,,,WP_133451944.1,,,,WP_133451944.1,WP_133451944.1
,,,WP_027366251.1,,,,WP_027366251.1,WP_027366251.1
,,,WP_173928157.1,,,,WP_173928157.1,WP_173928157.1
,,,WP_148940207.1,,,,WP_148940207.1,WP_148940207.1
,,,WP_092478849.1,,,,WP_092478849.1,WP_092478849.1
,,,WP_097040384.1,,,,WP_097040384.1,WP_097040384.1
,,,WP_174356430.1,,,,WP_174356430.1,WP_174356430.1
,,,WP_041597675.1,,,,WP_041597675.1,WP_041597675.1
,,,WP_066264726.1,,,,WP_066264726.1,WP_066264726.1
,,,WP_173112693.1,,,,WP_173112693.1,WP_173112693.1
,,,WP_109430894.1,,,,WP_109430894.1,WP_109430894.1
,,,WP_124791567.1,,,,WP_124791567.1,WP_124791567.1
,,,WP_113808291.1,,,,WP_113808291.1,WP_113808291.1
,,,WP_119015225.1,,,,WP_119015225.1,WP_119015225.1
,,,WP_095041880.1,,,,WP_095041880.1,WP_095041880.1
,,,WP_099680534.1,,,,WP_099680534.1,WP_099680534.1
,,,WP_138196693.1,,,,WP_138196693.1,WP_138196693.1
,,,WP_084286292.1,,,,WP_084286292.1,WP_084286292.1
,,,WP_155111253.1,,,,WP_155111253.1,WP_155111253.1
,,,WP_155303092.1,,,,WP_155303092.1,WP_155303092.1
,,,WP_091351128.1,,,,WP_091351128.1,WP_091351128.1
,,,WP_108040934.1,,,,WP_108040934.1,WP_108040934.1
,,,WP_091790858.1,,,,WP_091790858.1,WP_091790858.1
,,,WP_168722522.1,,,,WP_168722522.1,WP_168722522.1
,,,WP_148133815.1,,,,WP_148133815.1,WP_148133815.1
,,,WP_124727619.1,,,,WP_124727619.1,WP_124727619.1
V7I7Z9,,,WP_023387859.1,,ETA82013.1,,WP_023387859.1,WP_023387859.1
S7KDZ7,,,WP_020370739.1,,EPP34426.1,,WP_020370739.1,WP_020370739.1
C7N5E8,,,WP_012798236.1,,ACV22133.1,,WP_012798236.1,WP_012798236.1
H0UK31,,,WP_008520911.1,,EHM13041.1,,WP_008520911.1,WP_008520911.1
A0A1E5LAX2,,,WP_069718753.1,,OEH91237.1,,WP_069718753.1,WP_069718753.1
A0A0K9GE83,,,WP_049671448.1,,KMY45024.1,,WP_049671448.1,WP_049671448.1
A0A0M2SNN6,,,WP_046510790.1,,KKK35286.1,,WP_046510790.1,WP_046510790.1
A0A068NVJ3,,,WP_025228702.1,,AIE87397.1,,WP_025228702.1,WP_025228702.1
A0A0F5IA58,,,WP_039232122.1,,KKB42333.1,,WP_039232122.1,WP_039232122.1
A0A1L6MWN9,,,WP_075276636.1,,APR99970.1,,WP_075276636.1,WP_075276636.1
A0A147K9I1,,,WP_059350745.1,,KUP07086.1,,WP_059350745.1,WP_059350745.1
A0A0B4S1M7,,,WP_009372714.1,,AIZ36531.1,,WP_009372714.1,WP_009372714.1
A0A094WH79,,,WP_003322053.1,,KGA96156.1,,WP_003322053.1,WP_003322053.1
A0A1N7IL65,,,WP_076556693.1,,SIS37726.1,,WP_076556693.1,WP_076556693.1
A0A239TH86,,,WP_027889696.1,,SNU96849.1,,WP_027889696.1,WP_027889696.1
A0A172RXM8,,,WP_066661777.1,,SEO80458.1,,WP_066661777.1,WP_066661777.1
A0A1M6QBF1,,,WP_072873835.1,,SHK17599.1,,WP_072873835.1,WP_072873835.1
A0A150MH23,,,WP_033023251.1,,KYD23723.1,,WP_033023251.1,WP_033023251.1
A0A073ISU0,,,WP_037974870.1,,KEJ92879.1,,WP_037974870.1,WP_037974870.1
D1VUX1,,,WP_004825665.1,,EFA89666.1,,WP_004825665.1,WP_004825665.1
A0A420VBN5,,,WP_020156288.1,,RKO60980.1,,WP_020156288.1,WP_020156288.1
A0A6I4ZSB6,,,WP_036816310.1,,MYL33118.1,,WP_036816310.1,WP_036816310.1
,,,,,OGC16053.1,,OGC16053.1,OGC16053.1
,,,,,TME15659.1,,TME15659.1,TME15659.1
,,,,,CDE20839.1,,CDE20839.1,CDE20839.1
,,,,,PIE57019.1,,PIE57019.1,PIE57019.1
,,,,,OQY91747.1,,OQY91747.1,OQY91747.1
,,,,,CDE95132.1,,CDE95132.1,CDE95132.1
,,,,,KKP25997.1,,KKP25997.1,KKP25997.1
,,,,,PLS75815.1,,PLS75815.1,PLS75815.1
,,,,,TSA29763.1,,TSA29763.1,TSA29763.1
,,,,,TSA16903.1,,TSA16903.1,TSA16903.1
,,,,,KZD15133.1,,KZD15133.1,KZD15133.1
,,,,,KAF0152635.1,,KAF0152635.1,KAF0152635.1
,,,,,CBL06223.1,,CBL06223.1,CBL06223.1
,,,,,KAA0226199.1,,KAA0226199.1,KAA0226199.1
K1XEB8,,,,,EKD23417.1,,EKD23417.1,EKD23417.1
D4M961,,,,,CBL28406.1,,CBL28406.1,CBL28406.1
Q6ML95,,,,,CAE79962.1,,CAE79962.1,CAE79962.1
R7HIH8,,,,,CDE39195.1,,CDE39195.1,CDE39195.1
R7BP97,,,,,CDD67297.1,,CDD67297.1,CDD67297.1
V4JB21,,,,,ESQ12861.1,,ESQ12861.1,ESQ12861.1
A0A7V8AE22,,,,,KAF0125168.1,,KAF0125168.1,KAF0125168.1
A0A496APH7,,,,,RKU28278.1,,RKU28278.1,RKU28278.1
A0A661YGA9,,,,,RLD33598.1,,RLD33598.1,RLD33598.1
A0A660SFY9,,,,,RKX69607.1,,RKX69607.1,RKX69607.1
A0A538KH99,,,,,TMM01377.1,,TMM01377.1,TMM01377.1
A0A2N5ZIK6,,,,,PLX18540.1,,PLX18540.1,PLX18540.1
A0A0S7WZX3,,,,,KPJ55722.1,,KPJ55722.1,KPJ55722.1
A0A2G6GFM8,,,,,PID85410.1,,PID85410.1,PID85410.1
A0A3A5AYZ5,,,,,RJR47606.1,,RJR47606.1,RJR47606.1
A0A399XB02,,,,,RIK01244.1,,RIK01244.1,RIK01244.1
A0A1Q7I2W9,,,,,OLC57891.1,,OLC57891.1,OLC57891.1
A0A6G0AF74,,,,,KAA0243134.1,,KAA0243134.1,KAA0243134.1
A0A2N1Q2R4,,,,,PKK94860.1,,PKK94860.1,PKK94860.1
A0A3L7W3R1,,,,,RLT24846.1,,RLT24846.1,RLT24846.1
A0A1F9Z1F2,,,,,OGS45708.1,,OGS45708.1,OGS45708.1
A0A2A4WV42,,,,,PCI74298.1,,PCI74298.1,PCI74298.1
A0A1W9TZH5,,,,,OQY14477.1,,OQY14477.1,OQY14477.1
A0A538FR02,,,,,TML43051.1,,TML43051.1,TML43051.1
A0A2N2J8D8,,,,,PKN53458.1,,PKN53458.1,PKN53458.1
A0A2G6G051,,,,,PID79571.1,,PID79571.1,PID79571.1
A0A9E7B8A0,,,,,TNF49508.1,,TNF49508.1,TNF49508.1
A0A2W5YGF2,,,,,PZR71877.1,,PZR71877.1,PZR71877.1
A0A0G0BXF7,,,,,KKP35792.1,,KKP35792.1,KKP35792.1
A0A1F8QPC0,,,,,OGO37218.1,,OGO37218.1,OGO37218.1
A0A1Y3PM14,,,,,OUM88402.1,,OUM88402.1,OUM88402.1
A0A7J5W9M0,,,,,KAF0208088.1,,KAF0208088.1,KAF0208088.1
A0A2A4TZK0,,,,,PCI38739.1,,PCI38739.1,PCI38739.1
A0A3N5EUP7,,,,,RPH35072.1,,RPH35072.1,RPH35072.1
A0A0N8WAA4,,,,,KQC14147.1,,KQC14147.1,KQC14147.1
A0A257TKE8,,,,,OYV85121.1,,OYV85121.1,OYV85121.1
A0A2H0PB26,,,,,PIR19223.1,,PIR19223.1,PIR19223.1
A0A3M1U6M3,,,,,RMG23772.1,,RMG23772.1,RMG23772.1
A0A1F9VRQ1,,,,,OGS05586.1,,OGS05586.1,OGS05586.1
A0A1J5J0F2,,,,,OIP96968.1,,OIP96968.1,OIP96968.1
A0A2N2NLG6,,,,,PKO07036.1,,PKO07036.1,PKO07036.1
A0A521TPF2,,,,,TAK21487.1,,TAK21487.1,TAK21487.1
A0A2W5XL46,,,,,PZR62573.1,,PZR62573.1,PZR62573.1
A0A1V5VF71,,,,,OQA89719.1,,OQA89719.1,OQA89719.1
A0A1F5UP21,,,,,OGF52896.1,,OGF52896.1,OGF52896.1
A0A2W5XCL3,,,,,PZR60529.1,,PZR60529.1,PZR60529.1
A0A1F8PSL5,,,,,OGO26176.1,,OGO26176.1,OGO26176.1
A0A535KJS2,,,,,TMC83628.1,,TMC83628.1,TMC83628.1
A0A662EKS3,,,,,RLE32576.1,,RLE32576.1,RLE32576.1
A0A2V7UKM5,,,,,PYQ11329.1,,PYQ11329.1,PYQ11329.1
A0A2M8L2Z1,,,,,PJE67290.1,,PJE67290.1,PJE67290.1
A0A0S6W9L3,,,,,GAK55151.1,,GAK55151.1,GAK55151.1
A0A1V5JRX4,,,,,OPZ59235.1,,OPZ59235.1,OPZ59235.1
A0A6N6P6I7,,,,,KAB2640347.1,,KAB2640347.1,KAB2640347.1
A0A3M1BRI3,,,,,RME08879.1,,RME08879.1,RME08879.1
A0A538B7E8,,,,,TMK87696.1,,TMK87696.1,TMK87696.1
A0A316NYW1,,,,,PWL79277.1,,PWL79277.1,PWL79277.1
A0A2V2ERW1,,,,,PWM50527.1,,PWM50527.1,PWM50527.1
A0A1V4R4L0,,,,,OPX26141.1,,OPX26141.1,OPX26141.1
A0A521WSN4,,,,,TAK59397.1,,TAK59397.1,TAK59397.1
A0A1F2XD57,,,,,OFW67048.1,,OFW67048.1,OFW67048.1
A0A1G1WV12,,,,,OGY31576.1,,OGY31576.1,OGY31576.1
A0A523JKS7,,,,,TDI95161.1,,TDI95161.1,TDI95161.1
A0A2V5NF68,,,,,PYI93902.1,,PYI93902.1,PYI93902.1
A0A1G0XVG4,,,,,OGV37652.1,,OGV37652.1,OGV37652.1
A0A1Q6RMA2,,,,,OLA43507.1,,OLA43507.1,OLA43507.1
A0A1L8I4L2,,,,,OJF16653.1,,OJF16653.1,OJF16653.1
A0A109RGC8,,,WP_067977875.1,,AMB98951.1,,AMB98951.1,WP_067977875.1
A0A538LHH3,,,,,TMM13716.1,,TMM13716.1,TMM13716.1
A0A0G1CXW3,,,,,KKS90374.1,,KKS90374.1,KKS90374.1
A0A2M7ANX7,,,,,PIU69083.1,,PIU69083.1,PIU69083.1
A0A1G1WAW8,,,,,OGY24467.1,,OGY24467.1,OGY24467.1
A0A136KF80,,,,,KXK07983.1,,KXK07983.1,KXK07983.1
A0A2P6WEN7,,,,,PSH03671.1,,PSH03671.1,PSH03671.1
A0A2P8HY45,,,,,PSL51166.1,,PSL51166.1,PSL51166.1
A0A1V6HY07,,,,,OQC43023.1,,OQC43023.1,OQC43023.1
A0A833ERK7,,,,,KAA3659578.1,,KAA3659578.1,KAA3659578.1
A0A316RVE4,,,,,PWM34106.1,,PWM34106.1,PWM34106.1
A0A1W9N980,,,,,OQX29578.1,,OQX29578.1,OQX29578.1
A0A316LB48,,,,,PWL41573.1,,PWL41573.1,PWL41573.1
A0A976Q9K1,,,,,TRZ65843.1,,TRZ65843.1,TRZ65843.1
A0A0G1NL69,,,,,KKT84964.1,,KKT84964.1,KKT84964.1
A0A2G9XZQ1,,,,,PIP12460.1,,PIP12460.1,PIP12460.1
A0A2W4IYW9,,,,,PZM91784.1,,PZM91784.1,PZM91784.1
A0A3M1RPV0,,,,,RMF93602.1,,RMF93602.1,RMF93602.1
A0A2G6NMB6,,,,,PID75101.1,,PID75101.1,PID75101.1
A0A2V5K9F5,,,,,PYI56111.1,,PYI56111.1,PYI56111.1
A0A523U1S7,,,,,TET36259.1,,TET36259.1,TET36259.1
A0A2N3G7X8,,,,,PKQ28811.1,,PKQ28811.1,PKQ28811.1
A0A0S7YWG8,,,,,KPJ79156.1,,KPJ79156.1,KPJ79156.1
A0A537VHB9,,,,,TMK17718.1,,TMK17718.1,TMK17718.1
A0A6G0AGW3,,,,,KAA0246270.1,,KAA0246270.1,KAA0246270.1
A0A538B744,,,,,TMK87268.1,,TMK87268.1,TMK87268.1
A0A1V5Y0V9,,,,,OQB21461.1,,OQB21461.1,OQB21461.1
A0A3A0BI16,,,,,RIK53503.1,,RIK53503.1,RIK53503.1
A0A1F9RYN9,,,,,OGR58986.1,,OGR58986.1,OGR58986.1
A0A1V5XJA1,,,,,OQB15766.1,,OQB15766.1,OQB15766.1
A0A2N3FA58,,,,,PKQ17359.1,,PKQ17359.1,PKQ17359.1
